centreline_id,direction,location,class_type,daily_temperature,daily_precipitation,datetime_bin_start,datetime_bin_end,volume
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 08:00:00,2018-10-10 09:00:00,431
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 07:00:00,2018-10-10 08:00:00,131
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 06:00:00,2018-10-10 07:00:00,37
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 05:00:00,2018-10-10 06:00:00,11
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 04:00:00,2018-10-10 05:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 03:00:00,2018-10-10 04:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 02:00:00,2018-10-10 03:00:00,2
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 01:00:00,2018-10-10 02:00:00,2
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-10 00:00:00,2018-10-10 01:00:00,5
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 23:00:00,2018-10-10 00:00:00,19
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 22:00:00,2018-10-09 23:00:00,31
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 21:00:00,2018-10-09 22:00:00,42
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 20:00:00,2018-10-09 21:00:00,71
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 19:00:00,2018-10-09 20:00:00,140
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 18:00:00,2018-10-09 19:00:00,258
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 17:00:00,2018-10-09 18:00:00,383
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 16:00:00,2018-10-09 17:00:00,185
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 15:00:00,2018-10-09 16:00:00,88
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 14:00:00,2018-10-09 15:00:00,71
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 13:00:00,2018-10-09 14:00:00,46
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 12:00:00,2018-10-09 13:00:00,47
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 11:00:00,2018-10-09 12:00:00,39
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 10:00:00,2018-10-09 11:00:00,42
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 09:00:00,2018-10-09 10:00:00,101
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 08:00:00,2018-10-09 09:00:00,99
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 07:00:00,2018-10-09 08:00:00,28
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 06:00:00,2018-10-09 07:00:00,4
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 05:00:00,2018-10-09 06:00:00,5
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 04:00:00,2018-10-09 05:00:00,0
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 03:00:00,2018-10-09 04:00:00,0
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 02:00:00,2018-10-09 03:00:00,0
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 01:00:00,2018-10-09 02:00:00,1
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,26,0,2018-10-09 00:00:00,2018-10-09 01:00:00,5
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 23:00:00,2018-10-10 00:00:00,8
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 22:00:00,2018-10-09 23:00:00,18
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 21:00:00,2018-10-09 22:00:00,29
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 20:00:00,2018-10-09 21:00:00,32
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 19:00:00,2018-10-09 20:00:00,56
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 18:00:00,2018-10-09 19:00:00,108
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 17:00:00,2018-10-09 18:00:00,160
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 16:00:00,2018-10-09 17:00:00,60
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 15:00:00,2018-10-09 16:00:00,41
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 14:00:00,2018-10-09 15:00:00,61
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 13:00:00,2018-10-09 14:00:00,48
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 12:00:00,2018-10-09 13:00:00,58
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 11:00:00,2018-10-09 12:00:00,58
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 10:00:00,2018-10-09 11:00:00,84
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 09:00:00,2018-10-09 10:00:00,258
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 08:00:00,2018-10-09 09:00:00,390
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 07:00:00,2018-10-09 08:00:00,125
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 06:00:00,2018-10-09 07:00:00,38
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 05:00:00,2018-10-09 06:00:00,12
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 04:00:00,2018-10-09 05:00:00,2
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 03:00:00,2018-10-09 04:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 02:00:00,2018-10-09 03:00:00,2
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 01:00:00,2018-10-09 02:00:00,1
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,26,0,2018-10-09 00:00:00,2018-10-09 01:00:00,6
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 23:00:00,2018-10-09 00:00:00,11
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 22:00:00,2018-10-08 23:00:00,9
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 21:00:00,2018-10-08 22:00:00,19
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 20:00:00,2018-10-08 21:00:00,21
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 19:00:00,2018-10-08 20:00:00,23
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 18:00:00,2018-10-08 19:00:00,24
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 17:00:00,2018-10-08 18:00:00,24
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 16:00:00,2018-10-08 17:00:00,34
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 15:00:00,2018-10-08 16:00:00,28
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 14:00:00,2018-10-08 15:00:00,31
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 13:00:00,2018-10-08 14:00:00,20
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 12:00:00,2018-10-08 13:00:00,18
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 11:00:00,2018-10-08 12:00:00,24
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 10:00:00,2018-10-08 11:00:00,3
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 09:00:00,2018-10-08 10:00:00,6
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 08:00:00,2018-10-08 09:00:00,12
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 07:00:00,2018-10-08 08:00:00,3
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 06:00:00,2018-10-08 07:00:00,1
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 05:00:00,2018-10-08 06:00:00,0
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 04:00:00,2018-10-08 05:00:00,1
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 03:00:00,2018-10-08 04:00:00,3
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 02:00:00,2018-10-08 03:00:00,2
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 01:00:00,2018-10-08 02:00:00,3
8313231,Eastbound,ADELAIDE ST E EB W OF JARVIS ST,Cyclists,15,3,2018-10-08 00:00:00,2018-10-08 01:00:00,2
14047506,Westbound,RICHMOND ST E WB W OF JARVIS ST,Cyclists,15,3,2018-10-08 23:00:00,2018-10-09 00:00:00,6
